@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2,3}

@data
410,'2021/11/10 20:10:35:494',3,0.910836,3
411,'2021/11/10 20:10:35:511',3,0.908614,3
412,'2021/11/10 20:10:35:528',3,0.908614,3
413,'2021/11/10 20:10:35:544',3,0.905579,3
414,'2021/11/10 20:10:35:561',3,0.905579,3
415,'2021/11/10 20:10:35:578',3,0.903299,3
416,'2021/11/10 20:10:35:595',3,0.903299,3
417,'2021/11/10 20:10:35:611',3,0.898037,3
418,'2021/11/10 20:10:35:628',3,0.898037,3
419,'2021/11/10 20:10:35:645',3,0.897818,3
420,'2021/11/10 20:10:35:661',3,0.897818,3
421,'2021/11/10 20:10:35:679',3,0.895463,3
422,'2021/11/10 20:10:35:695',3,0.895463,3
423,'2021/11/10 20:10:35:712',3,0.895311,3
424,'2021/11/10 20:10:35:729',3,0.895311,3
425,'2021/11/10 20:10:35:745',3,0.89476,3
426,'2021/11/10 20:10:35:762',3,0.89476,3
427,'2021/11/10 20:10:35:779',3,0.894433,3
428,'2021/11/10 20:10:35:796',3,0.894433,3
429,'2021/11/10 20:10:35:812',3,0.895468,3
430,'2021/11/10 20:10:35:828',3,0.895468,3
431,'2021/11/10 20:10:35:845',3,0.896868,3
432,'2021/11/10 20:10:35:862',3,0.896868,3
433,'2021/11/10 20:10:35:879',3,0.896416,3
434,'2021/11/10 20:10:35:895',3,0.896416,3
435,'2021/11/10 20:10:35:912',3,0.898901,3
436,'2021/11/10 20:10:35:929',3,0.898901,3
437,'2021/11/10 20:10:35:946',3,0.898873,3
438,'2021/11/10 20:10:35:962',3,0.898873,3
439,'2021/11/10 20:10:35:979',3,0.899043,3
440,'2021/11/10 20:10:35:996',3,0.899043,3
441,'2021/11/10 20:10:36:012',3,0.901246,3
442,'2021/11/10 20:10:36:029',3,0.901246,3
443,'2021/11/10 20:10:36:046',3,0.901439,3
444,'2021/11/10 20:10:36:063',3,0.901439,3
445,'2021/11/10 20:10:36:080',3,0.903412,3
446,'2021/11/10 20:10:36:096',3,0.903412,3
447,'2021/11/10 20:10:36:113',3,0.906719,3
448,'2021/11/10 20:10:36:130',3,0.906719,3
449,'2021/11/10 20:10:36:147',3,0.910349,3
450,'2021/11/10 20:10:36:163',3,0.910349,3
451,'2021/11/10 20:10:36:180',3,0.910882,3
452,'2021/11/10 20:10:36:196',3,0.910882,3
453,'2021/11/10 20:10:36:213',3,0.910559,3
454,'2021/11/10 20:10:36:229',3,0.910559,3
455,'2021/11/10 20:10:36:246',3,0.913736,3
456,'2021/11/10 20:10:36:263',3,0.913736,3
457,'2021/11/10 20:10:36:280',3,0.916914,3
458,'2021/11/10 20:10:36:296',3,0.916914,3
459,'2021/11/10 20:10:36:313',3,0.920566,3
460,'2021/11/10 20:10:36:330',3,0.920566,3
461,'2021/11/10 20:10:36:346',3,0.921473,3
462,'2021/11/10 20:10:36:364',3,0.921473,3
463,'2021/11/10 20:10:36:380',3,0.922954,3
464,'2021/11/10 20:10:36:397',3,0.922954,3
465,'2021/11/10 20:10:36:413',3,0.922004,3
466,'2021/11/10 20:10:36:430',3,0.922004,3
467,'2021/11/10 20:10:36:447',3,0.921101,3
468,'2021/11/10 20:10:36:464',3,0.921101,3
469,'2021/11/10 20:10:36:481',3,0.919501,3
470,'2021/11/10 20:10:36:497',3,0.919501,3
471,'2021/11/10 20:10:36:514',3,0.919335,3
472,'2021/11/10 20:10:36:531',3,0.919335,3
473,'2021/11/10 20:10:36:548',3,0.91724,3
474,'2021/11/10 20:10:36:564',3,0.91724,3
475,'2021/11/10 20:10:36:580',3,0.916711,3
476,'2021/11/10 20:10:36:597',3,0.916711,3
477,'2021/11/10 20:10:36:613',3,0.915035,3
478,'2021/11/10 20:10:36:631',3,0.915035,3
479,'2021/11/10 20:10:36:647',3,0.913499,3
480,'2021/11/10 20:10:36:664',3,0.913499,3
481,'2021/11/10 20:10:36:681',3,0.914454,3
482,'2021/11/10 20:10:36:697',3,0.914454,3
483,'2021/11/10 20:10:36:714',3,0.917968,3
484,'2021/11/10 20:10:36:731',3,0.917968,3
485,'2021/11/10 20:10:36:748',3,0.91898,3
486,'2021/11/10 20:10:36:765',3,0.91898,3
487,'2021/11/10 20:10:36:781',3,0.922705,3
488,'2021/11/10 20:10:36:798',3,0.922705,3
489,'2021/11/10 20:10:36:815',3,0.925845,3
490,'2021/11/10 20:10:36:832',3,0.925845,3
491,'2021/11/10 20:10:36:848',3,0.928391,3
492,'2021/11/10 20:10:36:865',3,0.928391,3
493,'2021/11/10 20:10:36:882',3,0.930283,3
494,'2021/11/10 20:10:36:901',3,0.930283,3
495,'2021/11/10 20:10:36:916',3,0.929798,3
496,'2021/11/10 20:10:36:932',3,0.929798,3
497,'2021/11/10 20:10:36:948',3,0.926097,3
498,'2021/11/10 20:10:36:965',3,0.926097,3
499,'2021/11/10 20:10:36:981',3,0.923202,3
500,'2021/11/10 20:10:36:999',3,0.923202,3
501,'2021/11/10 20:10:37:015',3,0.920671,3
502,'2021/11/10 20:10:37:032',3,0.920671,3
503,'2021/11/10 20:10:37:048',3,0.918474,3
